anio,codigo_establecimiento,codigo_departamento,nombre_departamento,codigo_distrito,nombre_distrito,codigo_zona,nombre_zona,codigo_barrio_localidad,nombre_barrio_localidad,direccion,coordenadas_y,coordenadas_x,latitud,longitud,anho_cod_geo,uri
2021,1701016,17,Alto Paraguay,265,BAHÍA NEGRA,2,Rural,8984,CENTRAL,J J SANCHEZ,7761312,377648,"20º14'31""S","58º10'17.013""W",,http://datos.mec.gov.py/id/establecimientos/1701016
2021,1701014,17,Alto Paraguay,265,BAHÍA NEGRA,2,Rural,52120,COM INDIG 14 DE MAYO KARCHABALUT,S/D COMUNIDAD IND. KARCHA BAHLUT,"","","","",,http://datos.mec.gov.py/id/establecimientos/1701014
2021,1701007,17,Alto Paraguay,265,BAHÍA NEGRA,2,Rural,8983,ZONA BAHIA NEGRA POTY,PUERTO ESPERANZA,7743280,389024,"20º24'19.991""S","58º3'48.985""W",,http://datos.mec.gov.py/id/establecimientos/1701007
2021,1701006,17,Alto Paraguay,265,BAHÍA NEGRA,1,Urbana,52121,COM INDIG PUERTO DIANA,PUERTO DIANA,"","","","",,http://datos.mec.gov.py/id/establecimientos/1701006
2021,1701005,17,Alto Paraguay,265,BAHÍA NEGRA,1,Urbana,8984,CENTRAL,AVDA. J.J.SANCHEZ,7762844,378031,"20º13'41.26""S","58º10'3.442""W",,http://datos.mec.gov.py/id/establecimientos/1701005
2021,1702033,17,Alto Paraguay,531,CARMELO PERALTA,2,Rural,9206,ISLA MARGARITA,VIRGEN DEL CARMEN - LA VICTORIA,"","","","",,http://datos.mec.gov.py/id/establecimientos/1702033
2021,1702030,17,Alto Paraguay,531,CARMELO PERALTA,2,Rural,9203,PUERTO GUARANI - SUB URBANO,"PTO GUARANI, ALTO PARAGUAY",7646431,404027,"21º16'52.92""S","57º55'30.592""W",,http://datos.mec.gov.py/id/establecimientos/1702030
2021,1702027,17,Alto Paraguay,531,CARMELO PERALTA,2,Rural,9207,COM INDIG PUNTA,"",7600559,407366,"21º41'45.421""S","57º53'43.849""W",,http://datos.mec.gov.py/id/establecimientos/1702027
2021,1702024,17,Alto Paraguay,531,CARMELO PERALTA,2,Rural,9202,COM INDIG GUIDA ICHAI,ALTO PARAGUAY -,7596760,402413,"21º43'48.008""S","57º56'37.005""W",,http://datos.mec.gov.py/id/establecimientos/1702024
2021,1702021,17,Alto Paraguay,531,CARMELO PERALTA,2,Rural,52130,SAN MIGUEL,VIRGEN DEL CARMEN - LA VICTORIA,7600915,408193,"21º41'33.993""S","57º53'14.993""W",,http://datos.mec.gov.py/id/establecimientos/1702021
